,en,ru,tr
game_name,Which Character Are You,Какой Ты Персонаж,Hangi Karaktersin
do_not_know,Don't know,Не знаю,Bilmiyorum
yes,Yes,Да,Evet
more_likely_yes,More likely yes,Скорее всего да,Büyük ihtimalle evet
no,No,Нет,Hayır
more_likely_no,More likely no,Скорее всего нет,Büyük ihtimalle hayır
info,"This is a fun game that will help you find out what kind of character you would be in famous movies, TV shows or books. You will answer various questions about your preferences, character and ideas about the world. The game will then compare your answers with information about various characters and determine which of them you are most similar to.","Это веселая игра, которая поможет вам узнать, каким персонажем вы могли бы быть в известных фильмах, сериалах или книгах. Вы ответите на различные вопросы о ваших предпочтениях, характере и представлениях об окружающем мире. Затем игра сравнит ваши ответы с информацией о различных персонажах и определит, на кого из них вы больше всего похожи.","Bu, ünlü filmlerde, dizilerde veya kitaplarda nasıl bir karakter olacağınızı öğrenmenize yardımcı olacak eğlenceli bir oyundur. Tercihleriniz, karakteriniz ve dünya hakkındaki fikirleriniz hakkında çeşitli soruları yanıtlayacaksınız. Oyun daha sonra yanıtlarınızı çeşitli karakterler hakkındaki bilgilerle karşılaştıracak ve bunlardan hangisine en çok benzediğinizi belirleyecektir."
language,Language,Язык,Dil
scale,Scale,Масштаб,Ölçek
mobile,Mobile,Мобайл,Mobil
tablet,Tablet,Таблет,Tablet
pc,PC,ПК,Bilgisayar
